stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8554885,3504,"East Main Street at Jade Palace","",35.910454,-79.071405,,,0,,,0,,
8554886,3466,"South Greensboro Street at Traffic Circle","",35.902949,-79.072629,,,0,,,0,,
8554887,3043,"Smith Level Road at Public Works Department","",35.90042,-79.074035,,,0,,,0,,
8554888,3605,"Smith Level Road at Willow Oak Lane Southbound","",35.898408,-79.07523,,,0,,,0,,
8554889,3661,"Smith Level Road at BPW Club Road Southbound","",35.895123,-79.076644,,,0,,,0,,
8554890,3173,"Rock Haven Road at Smith Level Road","",35.891903,-79.08014,,,0,,,0,,
8554891,3652,"Carrboro High School Northbound","",35.892584,-79.084017,,,0,,,0,,
8554892,3152,"Tar Hill Drive at Carrboro High School Northbound","",35.893956,-79.085699,,,0,,,0,,
8554893,3171,"Tar Hill Drive at BPW Club Road Northbound","",35.894887,-79.085427,,,0,,,0,,
8554894,3158,"BPW Club Road at Apartments","",35.895894,-79.082428,,,0,,,0,,
8554895,3154,"BPW Club Road at the Villages","",35.895434,-79.079635,,,0,,,0,,
8554896,3042,"BPW Club Road at Smith Level Road","",35.895342,-79.076855,,,0,,,0,,
8554897,3044,"Smith Level Road at Willow Oak Lane Northbound","",35.898185,-79.075058,,,0,,,0,,
8554898,3133,"Smith Level Road at Frank Porter Graham School","",35.900398,-79.073609,,,0,,,0,,
8554899,3505,"East Main Street at Weaver Street Realty","",35.910447,-79.070737,,,0,,,0,,
8554901,3231,"Manning Lot at Middle of Lot","",35.900251,-79.039092,,,0,,,0,,
8554902,3162,"Ridge Road at Stadium Drive","",35.906294,-79.044524,,,0,,,0,,
8554903,3399,"Ridge Road at Law School","",35.909276,-79.041366,,,0,,,0,,
8554904,3381,"Raleigh Street at Connor Hall","",35.911037,-79.046704,,,0,,,0,,
8554905,3028,"Raleigh Street at Lewis Hall","",35.912483,-79.047392,,,0,,,0,,
8554906,3425,"Cameron Avenue at New East Hall","",35.912369,-79.050132,,,0,,,0,,
8554907,3426,"Cameron Avenue at Swain Hall","",35.911098,-79.05344,,,0,,,0,,
8554908,3160,"Bowles Drive at Craige Dorm","",35.903351,-79.044457,,,0,,,0,,
8554909,3225,"Bowles Drive at Kenan-Flagler Lot","",35.901595,-79.044156,,,0,,,0,,
8554910,3228,"Bowles Drive at Smith Center","",35.900333,-79.043456,,,0,,,0,,
8554911,3370,"East Franklin Street at 1512","",35.931303,-79.032889,,,0,,,0,,
8554912,3367,"East Franklin Street at Couch Road","",35.932441,-79.031794,,,0,,,0,,
8554913,3365,"East Franklin Street at Elliott Road Eastbound","",35.93535102583327,-79.02856008696365,,,0,,,0,,
8554914,3453,"East Franklin Street at Eastgate Shopping","",35.936757,-79.026107,,,0,,,0,,
8554915,3296,"Eastowne Road at Pinegate Circle","",35.94853,-79.007834,,,0,,,0,,
8554916,3287,"Old Sterling Drive at Notting Hill","",35.951278,-79.011449,,,0,,,0,,
8554917,3559,"Old Sterling Road at Bible Church","",35.950497,-79.014572,,,0,,,0,,
8554918,3285,"Coleridge Road at Presque Isle","",35.949414,-79.016471,,,0,,,0,,
8554919,3286,"Coleridge Road at Sage Road","",35.947182,-79.01486,,,0,,,0,,
